@relation proj2master-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R1-precision6

@attribute Age {'\'(-inf-29.166667]\'','\'(29.166667-41.333333]\'','\'(41.333333-53.5]\'','\'(53.5-65.666667]\'','\'(65.666667-77.833333]\'','\'(77.833333-inf)\''}
@attribute WorkClass {' Private',' Self-emp-not-inc',' Self-emp-inc',' Local-gov',' Federal-gov',' State-gov',' Without-pay'}
@attribute education {' 11th',' Bachelors',' Some-college',' Assoc-voc',' Doctorate',' Masters',' HS-grad',' Prof-school',' Assoc-acdm',' 5th-6th',' 9th',' 7th-8th',' 1st-4th',' 10th',' 12th',' Preschool'}
@attribute marritalStatus {' Never-married',' Married-civ-spouse',' Divorced',' Separated',' Married-spouse-absent',' Married-AF-spouse',' Widowed'}
@attribute Job {' Machine-op-inspct',' Sales',' Craft-repair',' Prof-specialty',' Exec-managerial',' Adm-clerical',' Tech-support',' Other-service',' Protective-serv',' Transport-moving',' Handlers-cleaners',' Farming-fishing',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Own-child',' Not-in-family',' Husband',' Unmarried',' Wife',' Other-relative'}
@attribute Race {' Black',' Asian-Pac-Islander',' White',' Other',' Amer-Indian-Eskimo'}
@attribute Gender {' Male',' Female'}
@attribute workhours numeric
@attribute CountryOrigin {' United-States',' Cambodia',' Canada',' China',' Columbia',' Cuba',' Dominican-Republic',' Ecuador',' El-Salvador',' England',' France',' Germany',' Greece',' Haiti',' Honduras',' Hong',' Hungary',' India',' Iran',' Ireland',' Italy',' Jamaica',' Japan',' Mexico',' Nicaragua',' Outlying-US(Guam-USVI-etc)',' Peru',' Philippines',' Poland',' Portugal',' Puerto-Rico',' South',' Taiwan',' Thailand',' Vietnam',' Yugoslavia',' Guatemala',' Laos',' Scotland',' Trinadad&Tobago'}
@attribute Incomebracket {' <=50K.',' >50K.'}

@data
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Priv-house-serv',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Wife',' White',' Female',35,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Local-gov',' HS-grad',' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',35,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Bachelors',' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',35,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Never-married',' Sales',' Not-in-family',' White',' Female',35,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',34,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',34,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',33,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Divorced',' Prof-specialty',' Unmarried',' White',' Female',32,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',32,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',32,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',32,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Tech-support',' Wife',' White',' Female',32,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',31,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Divorced',' Prof-specialty',' Not-in-family',' White',' Male',30,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Never-married',' Tech-support',' Not-in-family',' White',' Female',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Some-college',' Divorced',' Sales',' Not-in-family',' White',' Female',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Assoc-acdm',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Local-gov',' HS-grad',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' Amer-Indian-Eskimo',' Male',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' 11th',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Local-gov',' 10th',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Sales',' Wife',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' Masters',' Divorced',' Prof-specialty',' Unmarried',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Own-child',' White',' Female',30,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Wife',' White',' Female',28,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',28,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',28,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Wife',' Amer-Indian-Eskimo',' Female',27,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',25,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Some-college',' Never-married',' Sales',' Not-in-family',' White',' Male',25,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Assoc-acdm',' Married-civ-spouse',' Sales',' Husband',' White',' Male',25,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',25,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',25,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Divorced',' Prof-specialty',' Unmarried',' White',' Female',25,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Bachelors',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',24,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',24,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',24,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' HS-grad',' Never-married',' Sales',' Not-in-family',' White',' Male',24,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',24,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',24,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',24,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',24,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',24,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Sales',' Other-relative',' White',' Female',24,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',23,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',21,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',21,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',21,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Divorced',' Prof-specialty',' Unmarried',' Black',' Female',20,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Doctorate',' Widowed',' Prof-specialty',' Not-in-family',' White',' Male',20,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Federal-gov',' HS-grad',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' 11th',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Some-college',' Never-married',' Prof-specialty',' Own-child',' White',' Female',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Masters',' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',20,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',20,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Masters',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Assoc-acdm',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Priv-house-serv',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',20,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Other-relative',' White',' Female',20,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Divorced',' Other-service',' Not-in-family',' Black',' Female',18,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',17,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',17,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Bachelors',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',16,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',16,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' State-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',16,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Wife',' White',' Female',16,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Local-gov',' HS-grad',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',16,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Sales',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' Assoc-acdm',' Married-civ-spouse',' Sales',' Husband',' White',' Male',15,' United-States',' >50K.'
'\'(-inf-29.166667]\'',' Private',' HS-grad',' Never-married',' Sales',' Own-child',' White',' Female',15,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',15,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Prof-school',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Protective-serv',' Wife',' White',' Female',15,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',13,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',12,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',12,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',10,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',10,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',10,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',10,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',10,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',10,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',10,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Federal-gov',' Assoc-voc',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',9,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' 11th',' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',9,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',8,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Some-college',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',8,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' State-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',8,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',8,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',8,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Wife',' White',' Female',8,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',7,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',7,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',7,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',6,' United-States',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',5,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',5,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Masters',' Married-civ-spouse',' Sales',' Husband',' White',' Male',4,' United-States',' >50K.'
'\'(65.666667-77.833333]\'',' State-gov',' Doctorate',' Married-spouse-absent',' Prof-specialty',' Not-in-family',' White',' Male',4,' United-States',' >50K.'
'\'(77.833333-inf)\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',4,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',3,' United-States',' >50K.'
'\'(77.833333-inf)\'',' Private',' Prof-school',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',2,' United-States',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',1,' United-States',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' Vietnam',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',' Asian-Pac-Islander',' Male',40,' Vietnam',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Yugoslavia',' >50K.'
'\'(41.333333-53.5]\'',' Private',' 5th-6th',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',10,' Yugoslavia',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',45,' Cambodia',' <=50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Assoc-voc',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',40,' Cambodia',' <=50K.'
'\'(-inf-29.166667]\'',' Private',' Assoc-voc',' Never-married',' Transport-moving',' Own-child',' Black',' Male',40,' Cambodia',' <=50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Never-married',' Machine-op-inspct',' Unmarried',' Asian-Pac-Islander',' Male',40,' Cambodia',' <=50K.'
'\'(29.166667-41.333333]\'',' State-gov',' Some-college',' Married-civ-spouse',' Prof-specialty',' Other-relative',' Asian-Pac-Islander',' Male',40,' Cambodia',' <=50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Widowed',' Craft-repair',' Other-relative',' Asian-Pac-Islander',' Female',40,' Cambodia',' <=50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',72,' Canada',' <=50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Bachelors',' Separated',' Sales',' Unmarried',' White',' Male',70,' Canada',' <=50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Divorced',' Sales',' Unmarried',' White',' Female',65,' Canada',' <=50K.'
